SYMBOL	ms1	ms2	ms3	ms4	ms5	ms6	ms7	ms8	ms9	ms10	ms11	ms12	ms13	ms14	control1	control2	control3	control4	control5	control6	control7	control8	control9	control10	control11	control12	control13	control14
AAMP	933	527	538	2195	235	450	1450	564	3949	62	769	443	409	1008	730	353	467	322	346	862	636	1934	355	647	972	1060	912	849
ABAT	5348	1902	2006	5227	865	1648	4880	3156	12584	266	3345	2248	1206	5459	1396	1062	1677	1189	892	1950	1192	7348	836	1572	837	2187	2791	1936
ABCA1	1846	3079	2823	13417	3670	4586	7566	7307	17534	1147	4168	2617	1470	7294	1201	1008	1752	886	1117	1842	2220	6886	2355	2136	790	2356	3234	4473
ABCA2	34040	5812	6101	70053	3836	5614	22526	16041	59013	1216	33604	5127	30059	26863	28898	13439	12704	7858	17699	42368	43265	27843	38425	11554	99571	31273	22954	35514
ABCA3	3333	1008	1290	4942	365	1691	1584	1585	4073	240	1742	1662	1181	2396	1407	807	1103	698	815	1959	2068	3966	1205	1071	3393	2123	1934	2224
ABCB7	347	254	199	1049	413	293	965	598	2523	66	534	184	138	654	362	351	522	170	154	405	266	799	230	608	98	686	698	554
ABCF1	975	605	646	2144	614	972	4440	1187	10376	158	1584	630	617	1587	1106	813	1104	540	579	1183	1784	2650	831	1003	813	1482	1580	1668
ABL1	2515	1504	1845	4565	517	1848	2766	1567	6574	171	2315	1545	1981	2184	2021	1119	1279	653	1187	2685	2731	3086	2580	1312	4331	2796	2170	3271
ABL2	2276	1396	1320	4078	892	2108	3072	1516	7993	247	2349	1293	1016	2542	1109	943	1352	589	748	1560	1242	2628	1055	1240	587	1633	1738	2236
ABR	7549	4372	5020	13511	1456	5651	7250	5028	17421	915	4394	5613	1915	7009	1971	1147	1846	2501	1511	4706	2856	7171	1481	2253	5367	2821	4271	2653
ACAA1	560	351	371	1228	54	336	675	373	1869	68	677	255	343	609	347	147	253	171	223	509	353	682	322	242	591	425	374	368
ACACA	4282	1373	1121	5994	999	1528	5389	2308	13864	299	3966	1501	1151	4456	2609	1982	3086	825	1403	2546	2117	5263	1723	1871	957	4017	2745	3575
ACACB	2496	1627	2094	4248	326	1905	1838	1226	5009	213	1951	1301	1119	2577	1493	1076	1164	732	743	2220	1355	5298	650	1093	2044	2152	1928	1055
ACADM	597	464	304	1564	900	482	3488	918	8908	133	1113	427	251	1443	731	679	962	409	412	809	429	1710	350	1072	19	1374	1266	1170
ACADS	151	101	126	395	5	45	22	105	48	8	62	59	56	126	72	15	22	69	72	139	74	126	36	23	365	53	70	41
ACADSB	655	288	184	2287	609	285	2102	943	5175	136	1435	239	258	1571	799	591	903	419	435	1174	680	1368	436	985	41	1071	1202	1019
ACADVL	3531	2076	2531	7183	345	2646	4016	2439	10451	306	3644	1806	1778	5474	1939	642	1639	1184	1254	3122	3678	4687	2090	1263	3381	2455	2378	2492
ACAT1	524	362	227	1442	577	425	2586	837	6335	103	1001	350	258	1142	633	544	1137	338	316	824	511	1733	390	1037	31	1267	1337	1213
ACAT2	108	37	34	554	139	56	1287	205	3239	25	350	57	38	397	312	285	444	74	114	253	195	588	150	338	34	472	401	338
ASIC1	859	135	144	557	95	125	441	468	1142	53	449	275	126	386	267	150	163	142	239	275	322	1137	192	147	985	376	221	248
ACLY	1173	900	898	3786	468	1270	3397	1931	8600	166	1392	683	515	1797	1477	707	1410	582	741	1781	1520	6460	1194	1386	1293	2010	1974	2378
ACO1	1000	615	503	1902	435	734	2364	872	5600	111	971	517	391	1098	698	582	804	306	341	725	745	1503	472	788	201	1049	1079	1254
ACO2	2699	1090	1033	4312	353	1381	2988	2692	7394	341	2016	1135	672	2452	2216	873	1520	1109	1106	2558	1975	4385	1316	1326	3467	2467	2309	2034
ACOX1	1348	1332	1166	3293	580	1485	2801	1852	7105	234	1596	1085	540	2261	1022	638	1290	517	677	1279	949	2528	650	1374	638	1536	1812	1615
ACP1	617	444	274	1785	450	391	1269	747	3270	88	1007	413	309	1198	571	424	734	269	353	649	566	1461	530	851	124	943	1099	1150
ACP2	293	161	179	895	72	240	181	523	514	38	299	174	131	341	173	103	144	97	109	310	279	587	167	156	299	232	310	272
ACP5	66	72	55	460	15	88	13	240	26	25	79	53	48	71	52	10	19	8	15	37	17	76	19	15	62	43	17	26
ACTA2	399	186	133	869	217	264	374	883	895	41	322	418	152	439	101	37	146	131	56	156	230	676	22	193	48	253	370	101
